ds,Total births by sex,Total deaths by sex,Infant mortality rate (IMR),Life expectancy E(x) - complete,Fertility rates by age of mother (1-year),Population by 1-year age groups and sex,Urban population growth (annual %),Refugee population by country or territory of origin,y
1965-01-01,342603.5995838821,156880.69201482867,67.41648170826514,22.151569902511692,185.99134839004327,31034.918367346938,4.981748352425851,305.5170068027211,4400000.0
1966-01-01,307390.18787368503,162333.70023150646,105.05556916331977,22.100081072964464,213.42655534626684,139816.3469387755,4.513241305540136,303.91156462585036,4520000.0
1967-01-01,340726.18968649214,157277.33067250525,68.91998213452561,22.101603306188167,176.77498584646204,95002.08503401361,5.146214151031293,506.0204081632653,4640000.0
1968-01-01,295092.725466093,163624.91580917538,115.59249842404257,24.175853605834575,187.80604534101082,53019.183673469386,4.887461467338776,282.7755102040816,4760000.0
1969-01-01,318064.78173014225,160282.12650439484,92.02977935633545,25.59663928999279,183.46417246647403,43762.207482993195,5.361915597737415,278.9047619047619,4880000.0
1970-01-01,288330.89694505173,164756.22911535663,122.67660854813731,25.2070683334228,188.9874832640521,138708.2925170068,4.868548162277551,285.0748299319728,5000000.0
1971-01-01,291933.41110974865,164255.5956894774,119.6688922766053,24.74906677770999,200.0265937173528,92544.21768707484,4.716391956451701,295.0816326530612,5150000.0
1972-01-01,306758.96646780305,161838.8548525052,102.87267504546584,24.172251998037,173.9922539610679,50949.319727891154,5.17186242330068,480.7142857142857,5300000.0
1973-01-01,284574.7427359139,165037.65829550638,126.52498597720137,23.56239847339226,194.4229013048095,55981.139455782315,4.72145856167619,294.4421768707483,5450000.0
1974-01-01,323940.6920753189,159447.13844794143,84.24033600327712,23.143926610158125,151.2657936059222,143060.05102040817,5.214785814404082,276.1496598639456,5600000.0
1975-01-01,269601.3550567381,167243.98247569014,141.19907615285348,22.746837732225025,184.69574580593047,98067.7925170068,5.0251304719646255,292.42857142857144,5750000.0
1976-01-01,312287.20817622467,161009.85396721427,96.74195147346417,22.453588897771965,165.42800532710822,55883.10544217687,5.001530978604081,301.13605442176873,5900000.0
1977-01-01,261989.47491109665,168209.8096235491,149.0620183793785,23.648504595567243,189.50994987103616,76501.92857142857,4.932729584185034,491.1700680272109,6050000.0
1978-01-01,296424.1410688621,163502.35590819034,113.51741099523363,25.488261345347308,173.72020065759128,145231.68367346938,4.563681600314285,272.9795918367347,6200000.0
1979-01-01,266108.9725013117,167573.19588150043,143.7568573193972,24.766776713950943,170.3469319081137,95071.40816326531,5.3151323831088435,280.01360544217687,6350000.0
1980-01-01,277630.0169507133,165863.46814624334,132.09102360281173,24.06611872680813,171.52093889491402,54325.73469387755,4.94721545637415,287.68027210884355,6500000.0
1981-01-01,281916.33439725335,165052.33574859248,126.03513500232499,23.425414119102776,144.9525426549499,92918.01360544217,5.282532779375511,285.36054421768705,6650000.0
1982-01-01,243608.70638231805,170853.54341312597,166.964750837975,22.756375260078805,176.79469081361728,145018.57823129251,4.537681501647619,260.0612244897959,6800000.0
1983-01-01,292015.685844236,163764.72676805593,116.3387695236701,22.062934063023814,151.6391384184603,95166.31292517007,4.847607287877551,464.5578231292517,6950000.0
1984-01-01,222182.06859890232,173590.53850425512,188.3134758781195,21.504778900111535,176.50785058285274,54076.816326530614,4.991825961627211,239.69387755102042,7100000.0
1985-01-01,292814.61328940804,163533.93377071817,114.92921788123711,21.199638299403873,143.22720967189318,111881.53401360544,5.114927908544218,235.8095238095238,7250000.0
1986-01-01,234999.10127506554,171766.37121791393,173.84013925479744,21.740729888063218,150.11321024913389,146744.47278911565,4.951301320438096,253.9251700680272,7400000.0
1987-01-01,281787.1350975798,164982.853738076,125.07089607980853,24.20526383016104,127.18214824679765,103927.65646258503,5.0473576813850345,257.48979591836735,7550000.0
1988-01-01,252562.33782513332,168962.73938266307,154.68275853271547,23.62824325812119,130.98949489606275,60295.28231292517,4.945455282243538,458.4353741496599,7700000.0
1989-01-01,248691.9959105318,169773.0415514234,159.66276572592486,23.007083155845915,145.17110945305743,138300.7380952381,4.786710578730612,247.8095238095238,7850000.0
1990-01-01,265601.0995894694,167355.18006645894,141.71352222427083,22.48351172693198,130.69988614723545,154037.91156462586,4.791955753718367,234.68027210884352,8000000.0
